100 9.778e-06
600 8.188e-05
1100 0.000161105
1600 0.000218103
2100 0.000339412
2600 0.000469404
3100 0.000726219
3600 0.000601836
4100 0.000713648
4600 0.000936484
5100 0.00100772
5600 0.00114953
6100 0.00131957
6600 0.00112524
7100 0.00148527
7600 0.00143888
8100 0.00152994
8600 0.00164018
9100 0.00174416
9600 0.00195038
10100 0.002142
10600 0.002274
11100 0.002421
11600 0.002755
12100 0.002738
12600 0.002916
13100 0.002688
13600 0.002917
14100 0.002676
14600 0.002746
15100 0.002929
15600 0.00401
16100 0.00359
16600 0.003431
17100 0.004819
17600 0.005379
18100 0.00376
18600 0.004339
19100 0.005267
19600 0.004222
20100 0.004364
20600 0.004985
21100 0.004681
21600 0.004869
22100 0.005161
22600 0.005624
23100 0.005753
23600 0.005728
24100 0.005847
24600 0.006319
25100 0.007375
25600 0.005031
26100 0.005659
26600 0.005222
27100 0.005859
27600 0.005747
28100 0.005837
28600 0.005834
29100 0.006496
29600 0.006065
